datetime,fecha,tramo,DOMICILIO,LLEVAR,LOCAL,RECOGER
2024-01-03 15:00:00,2024-01-03,15:00 - 15:14,0,0,0,0
2024-01-03 15:15:00,2024-01-03,15:15 - 15:29,0,0,0,0
2024-01-03 15:30:00,2024-01-03,15:30 - 15:44,0,0,0,0
2024-01-03 15:45:00,2024-01-03,15:45 - 15:59,0,0,0,0
2024-01-03 17:45:00,2024-01-03,17:45 - 17:59,0,0,0,0
2024-01-03 18:45:00,2024-01-03,18:45 - 18:59,2,0,0,0
2024-01-03 19:00:00,2024-01-03,19:00 - 19:14,1,0,0,0
2024-01-03 19:15:00,2024-01-03,19:15 - 19:29,0,0,0,0
2024-01-03 19:30:00,2024-01-03,19:30 - 19:44,0,0,1,0
2024-01-03 19:45:00,2024-01-03,19:45 - 19:59,1,1,0,0
2024-01-03 20:00:00,2024-01-03,20:00 - 20:14,1,1,1,0
2024-01-03 20:15:00,2024-01-03,20:15 - 20:29,1,2,1,0
2024-01-03 20:30:00,2024-01-03,20:30 - 20:44,3,0,0,0
2024-01-03 20:45:00,2024-01-03,20:45 - 20:59,1,1,0,1
2024-01-03 21:00:00,2024-01-03,21:00 - 21:14,1,0,0,0
2024-01-03 21:15:00,2024-01-03,21:15 - 21:29,1,0,1,1
2024-01-03 21:30:00,2024-01-03,21:30 - 21:44,1,0,0,0
2024-01-03 21:45:00,2024-01-03,21:45 - 21:59,0,0,0,1
2024-01-03 22:00:00,2024-01-03,22:00 - 22:14,0,1,0,0
2024-01-03 22:15:00,2024-01-03,22:15 - 22:29,0,1,1,0
2024-01-03 22:30:00,2024-01-03,22:30 - 22:44,1,0,0,0
2024-01-03 22:45:00,2024-01-03,22:45 - 22:59,0,0,0,0
2024-01-03 23:00:00,2024-01-03,23:00 - 23:14,0,0,0,0
2024-01-03 23:15:00,2024-01-03,23:15 - 23:29,0,0,0,0
2024-01-04 13:00:00,2024-01-04,13:00 - 13:14,0,0,0,0
2024-01-04 13:15:00,2024-01-04,13:15 - 13:29,1,0,0,0
2024-01-04 13:30:00,2024-01-04,13:30 - 13:44,1,0,0,0
2024-01-04 13:45:00,2024-01-04,13:45 - 13:59,0,0,1,0
2024-01-04 14:00:00,2024-01-04,14:00 - 14:14,0,0,1,1
2024-01-04 14:15:00,2024-01-04,14:15 - 14:29,1,0,1,0
2024-01-04 14:30:00,2024-01-04,14:30 - 14:44,0,1,0,0
2024-01-04 14:45:00,2024-01-04,14:45 - 14:59,0,0,1,0
2024-01-04 15:00:00,2024-01-04,15:00 - 15:14,0,0,0,0
2024-01-04 15:15:00,2024-01-04,15:15 - 15:29,0,0,1,0
2024-01-04 15:30:00,2024-01-04,15:30 - 15:44,0,0,0,0
2024-01-04 15:45:00,2024-01-04,15:45 - 15:59,0,0,0,0
2024-01-04 17:45:00,2024-01-04,17:45 - 17:59,0,0,0,0
2024-01-04 18:45:00,2024-01-04,18:45 - 18:59,0,0,0,0
2024-01-04 19:00:00,2024-01-04,19:00 - 19:14,0,1,0,0
2024-01-04 19:15:00,2024-01-04,19:15 - 19:29,0,0,0,0
2024-01-04 19:30:00,2024-01-04,19:30 - 19:44,0,0,0,0
